firm_id_raw,firm_id_canonical,decision,confidence,reason
WIGMORE STREET VI CO-INVESTMENT NO,WIGMORE STREET VI CO-INVESTMENT NO,keep_separate,high,Co-investment vehicle alongside a sixth fund. See the row above.
BARING VOSTOK PRIVATE EQUITY FUND IV LP / SUPPLEMENTAL,BARING VOSTOK PRIVATE EQUITY FUND IV LP / SUPPLEMENTAL,keep_separate,high,A supplemental vehicle for fund IV. No other Baring Vostok fund appears in either plan.
GENERATION IM SUSTAINABLE PRIVATE EQUITY FUND II (A) ILP,GENERATION IM SUSTAINABLE PRIVATE EQUITY FUND II (A) ILP,keep_separate,high,Share class A of fund II. Neither plan holds another fund in the series so there is nothing to merge it with.
BAIN CAPITAL EUROPE FUND VI SCSP,BAIN CAPITAL EUROPE FUND VI SCSP,keep_separate,high,"Sole Bain Capital Europe fund in either plan. Bain's other stems here are separate strategies -- Asia, Insurance, Life Sciences, Tech Opportunities, Venture -- and none is its predecessor."
ASF VIII B,ASF VIII B,keep_separate,high,Ardian Secondary Fund VIII share class B. No other ASF fund in either plan.
BALDERTON CAPITAL IX SLP,BALDERTON CAPITAL IX SLP,keep_separate,high,Sole Balderton fund. S.L.P. is a French partnership suffix after the number.
BESSEMER VENTURE PARTNERS XII INSTITUTIONAL,BESSEMER VENTURE PARTNERS XII INSTITUTIONAL,keep_separate,high,Institutional class of BVP XII. Sole Bessemer fund in either plan.
BIOGENERATION CAPITAL FUND V COOPERATIEF UA,BIOGENERATION CAPITAL FUND V COOPERATIEF UA,keep_separate,high,Dutch cooperative suffix after the number. Sole BioGeneration fund.
CAPVEST EQUITY PARTNERS V SCSP,CAPVEST EQUITY PARTNERS V SCSP,keep_separate,high,Luxembourg suffix after the number. Sole CapVest fund.
EMBER INFRASTRUCTURE FUND II-B,EMBER INFRASTRUCTURE FUND II-B,keep_separate,high,Share class B of Ember II. Sole Ember fund.
FORCAL I INVESTMENT FUND,FORCAL I INVESTMENT FUND,keep_separate,high,Sole ForCal fund. The number sits mid-name so the numeral strip never reaches it.
GA CONTINUITY II (GT) FUND,GA CONTINUITY II (GT) FUND,keep_separate,high,"A continuation vehicle, which buys assets out of an existing fund rather than raising a successor."
GRAIN COMMUNICATIONS OPPORTUNITY FUND IV-A,GRAIN COMMUNICATIONS OPPORTUNITY FUND IV-A,keep_separate,high,Share class A of Grain IV. Sole Grain fund.
OAKTREE EUROPEAN PRINCIPAL FUND III (US),OAKTREE EUROPEAN PRINCIPAL FUND III (US),keep_separate,high,US feeder of Oaktree European Principal Fund III. Sole fund in that series here.
OREGON INVESTMENT FUND (SERIES 1-A),OREGON INVESTMENT FUND (SERIES 1-A),keep_separate,high,An in-state programme vehicle rather than a commingled fund with a successor.
OTRO CAPITAL FUND I-A,OTRO CAPITAL FUND I-A,keep_separate,high,Share class A of a first fund. There is no predecessor by definition.
PANTHEON GLOBAL SECONDARY FUND VII FEEDER (US),PANTHEON GLOBAL SECONDARY FUND VII FEEDER (US),keep_separate,high,US feeder of Pantheon Global Secondary VII. Sole fund in that series here.
SR ONE CAPITAL FUND II-A,SR ONE CAPITAL FUND II-A,keep_separate,high,Share class A of SR One II. Sole SR One fund.
VERDANE EDDA III (D1) AB,VERDANE EDDA III (D1) AB,keep_separate,high,Share class D1 of Verdane Edda III. Sole Verdane fund.
